<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MOEX.SBER:SMAL;60;20220517;140000;125.9600000;126.0000000;124.8300000;124.8300000;11
MOEX.SBER:SMAL;60;20220517;150000;125.0100000;125.0100000;125.0100000;125.0100000;1
MOEX.SBER:SMAL;60;20220517;160000;126.0000000;126.0000000;126.0000000;126.0000000;2
MOEX.SBER:SMAL;60;20220517;170000;126.0000000;126.9100000;126.0000000;126.9100000;16
MOEX.SBER:SMAL;60;20220517;190000;125.8000000;125.8000000;125.8000000;125.8000000;4
MOEX.SBER:SMAL;60;20220518;110000;128.1900000;132.0000000;128.0000000;132.0000000;36
MOEX.SBER:SMAL;60;20220518;120000;129.9900000;132.0100000;129.4100000;129.4100000;6
MOEX.SBER:SMAL;60;20220518;170000;129.0000000;129.0000000;126.0100000;126.0100000;5
MOEX.SBER:SMAL;60;20220518;190000;126.0000000;126.0000000;126.0000000;126.0000000;1
MOEX.SBER:SMAL;60;20220519;130000;125.5900000;128.8700000;125.5900000;128.8700000;2
MOEX.SBER:SMAL;60;20220519;180000;128.8500000;128.8500000;128.8500000;128.8500000;4
MOEX.SBER:SMAL;60;20220520;110000;127.9900000;127.9900000;125.0000000;125.0000000;2
MOEX.SBER:SMAL;60;20220520;120000;124.7000000;124.7000000;124.5000000;124.5000000;10
